Dataset/Guy/1/1.wav,ladies and gentlemen we have just been cleared to land at the san francisco airport
Dataset/Guy/1/2.wav,ladies and gentlemen we have just been cleared to land at the hong kong international airport
Dataset/Guy/1/3.wav,please make sure one last time your seat belt is securely fastened
Dataset/Guy/1/4.wav,the flight attendants are currently passing around the cabin to make a final compliance check and pick up any remaining cups and glasses
Dataset/Guy/1/5.wav,ladies and gentlemen welcome to san diego international airport
Dataset/Guy/1/6.wav,ladies and gentlemen welcome to san francisco international airport
Dataset/Guy/1/7.wav,local time is sixteen sixteen and the temperature is twelve degree celsius
Dataset/Guy/1/8.wav,local time is sixteen fifteen and the temperature is fifteen degree celsius
Dataset/Guy/1/9.wav,for your safety and comfort please remain seated with your seat belt fastened until the captain turns off the fasten seat belt sign
Dataset/Guy/1/10.wav,this will indicate that we have parked at the gate and that it is safe for you to move about
Dataset/Guy/1/11.wav,please check around your seat for any personal belongings you may have brought on board with you and please use caution when opening the overhead bins as heavy articles may have shifted around during the flight
Dataset/Guy/1/12.wav,if you require deplaning assistance please remain in your seat until all other passengers have deplaned
Dataset/Guy/1/13.wav,one of our crew members will then be pleased to assist you
Dataset/Guy/1/14.wav,on behalf of emirates airlines and the entire crew i would like to thank you for joining us on this trip and we are looking forward to seeing you on board again in the near future
Dataset/Guy/1/15.wav,have a nice day
Dataset/Guy/1/16.wav,have a nice evening
Dataset/Guy/1/17.wav,have a nice night
Dataset/Guy/1/18.wav,have a nice stay
Dataset/Guy/1/19.wav,good morning ladies and gentlemen
Dataset/Guy/1/20.wav,welcome on board this flight to seoul
Dataset/Guy/1/21.wav,my name is john graham and i am your in flight service director
Dataset/Guy/1/22.wav,your cabin crew is here to ensure you have an enjoyable flight to seoul this morning
Dataset/Guy/1/23.wav,welcome aboard korean air flight four ninety three bound for taipei
Dataset/Guy/1/24.wav,we are sorry for the delay in our departure
Dataset/Guy/1/25.wav,please fasten your seat belt and refrain from smoking while the no smoking sign is on
Dataset/Guy/1/26.wav,from captain jackson and the crew it is our pleasure to serve you today
Dataset/Guy/2/1.wav,above your head are the control buttons for your reading light and the flight attendant call button
Dataset/Guy/2/2.wav,the reading light button will switch your light on and off
Dataset/Guy/2/3.wav,yet no matter how many times you push the other one it will not turn on your flight attendants
Dataset/Guy/2/4.wav,if you look to your right that was the terminal we left an hour ago
Dataset/Guy/2/5.wav,i hope that you enjoyed your tour of the airport
Dataset/Guy/2/6.wav,we should be leaving shortly
Dataset/Guy/2/7.wav,please help yourself before helping small children or politicians
Dataset/Guy/2/8.wav,folks it has been great having you flying with us today
Dataset/Guy/2/9.wav,flight attendants prepare for blast off
Dataset/Guy/2/10.wav,we will be serving dinner on our flight this evening
Dataset/Guy/2/11.wav,and ice cream if everybody behaves themselves
Dataset/Guy/2/12.wav,please be seated whilst the fasten seat belt sign is on or we will be forced to re seat you to the wing and watch our own little version of gone with the wind
Dataset/Guy/2/13.wav,as you may already know we have hit our destination
Dataset/Guy/2/14.wav,hit our destination i would like to remind you that it is not against federal law to smile at a flight attendant
Dataset/Guy/2/15.wav,ladies and gentlemen we have on our flight today someone who is taking his first flight on his eightieth birthday
Dataset/Guy/2/16.wav,please give a round of applause for your captain
Dataset/Guy/2/17.wav,today's flight should take about three hours but luckily i know a shortcut so we might be a little early
Dataset/Guy/2/18.wav,those on the left side of the plane if you look out of your window you will see john travoltas plane
Dataset/Guy/2/19.wav,those on the right side can look out of their window and see john travolta
Dataset/Guy/2/20.wav,we are currently recruiting people to clean the aircraft
Dataset/Guy/2/21.wav,if you wish to volunteer then please stand before we have come to a stop
Dataset/Guy/2/22.wav,i noticed a few ladies who forgot to put on their makeup this morning
Dataset/Guy/2/23.wav,i will be dimming the lights for your convenience
Dataset/Guy/2/24.wav,we will be dimming the lights to enhance the appearance of your flight attendants
Dataset/Guy/2/25.wav,we are now going to dim the lights for take off
Dataset/Guy/3/1.wav,duty free alcohol cannot be opened or consumed on the aircraft by anyone except for the pilots
Dataset/Guy/3/2.wav,ladies and gentlemen there is too much rain to land and the visibility is not good
Dataset/Guy/3/3.wav,our flight is approximately seven hours and fifteen minutes
Dataset/Guy/3/4.wav,floor lighting will guide you
Dataset/Guy/3/5.wav,ladies and gentlemen we have reached an altitude that requires that all electronic devices be switched off including video cams laptops and cd or cassette players and other devices to be switched off
Dataset/Guy/3/6.wav,ladies and gentlemen cabin crew will be passing another snack with beverages we will be starting our descent in half an hour please enjoy your meal and if you will be needing further assistance contact your cabin attendant
Dataset/Guy/3/7.wav,evacuation slides are located at all exits not where the emergency exits are located there are being pointed out to you now bearing in mind that the nearest exit maybbe just behind you
